"NAME","ID","BASIN","ISO_TIME_________","NATURE","LAT","LON","WMO WIND","WMO PRES","USA WIND","USA PRES","TOKYO WIND","TOKYO PRES","CMA WIND","CMA PRES","HKO WIND","HKO PRES"
"WASHI","2005210N19115","WP","06:00:00","TS","20.29","105.89","40","985","35","997","40","985","38","985","40","988"
"WASHI","2005210N19115","WP","09:00:00","TS","20.38","105.14","","","27","1000","37","987","36","987","37","990"
"WASHI","2005210N19115","WP","12:00:00","TS","20.41","104.35","35","990","20","1004","35","990","34","990","35","992"
"WASHI","2005210N19115","WP","15:00:00","TS","20.36","103.69","","","","","","994","31","995","32","994"
"WASHI","2005210N19115","WP","18:00:00","TS","20.30","103.17","","998","","","","998","29","1000","30","996"
"SANVU","2005222N14131","WP","2005-08-09 18:00:00","TS","13.80","130.87","","1002","15","1006","","1002","29","1002","",""
"SANVU","2005222N14131","WP","21:00:00","TS","14.01","130.57","","","17","1005","","1002","29","1002","",""
"SANVU","2005222N14131","WP","2005-08-10 00:00:00","TS","14.20","130.27","","1002","20","1004","","1002","29","1002","",""
"SANVU","2005222N14131","WP","03:00:00","TS","14.38","129.94","","","20","1004","","1000","29","1000","",""
"SANVU","2005222N14131","WP","06:00:00","TS","14.58","129.62","","998","20","1004","","998","29","998","25","1000"
"SANVU","2005222N14131","WP","09:00:00","TS","14.81","129.20","","","22","1003","","998","29","998","25","1000"
"SANVU","2005222N14131","WP","12:00:00","TS","15.03","128.76","","998","25","1002","","998","29","998","25","1000"
"SANVU","2005222N14131","WP","15:00:00","TS","15.24","128.42","","","30","999","","998","29","998","27","999"
"SANVU","2005222N14131","WP","18:00:00","TS","15.50","128.00","","998","35","997","","998","29","998","30","998"
"SANVU","2005222N14131","WP","21:00:00","TS","15.82","127.35","","","35","997","","997","29","997","30","998"
"SANVU","2005222N14131","WP","2005-08-11 00:00:00","TS","16.23","126.55","","996","35","997","","996","29","996","30","998"
"SANVU","2005222N14131","WP","03:00:00","TS","16.72","125.69","","","37","995","","995","31","995","32","997"
"SANVU","2005222N14131","WP","06:00:00","TS","17.20","124.82","35","994","40","994","35","994","34","995","35","996"
"SANVU","2005222N14131","WP","09:00:00","TS","17.56","124.07","","","42","992","37","994","34","995","35","996"
"SANVU","2005222N14131","WP","12:00:00","TS","17.85","123.38","40","994","45","991","40","994","34","995","35","996"
"SANVU","2005222N14131","WP","15:00:00","TS","18.13","122.66","","","45","991","40","993","36","995","37","994"
"SANVU","2005222N14131","WP","18:00:00","TS","18.40","122.00","40","992","45","991","40","992","38","995","40","992"
"SANVU","2005222N14131","WP","21:00:00","TS","18.70","121.46","","","47","989","40","992","38","993","40","992"
"SANVU","2005222N14131","WP","2005-08-12 00:00:00","TS","19.02","120.95","40","992","50","987","40","992","38","992","40","992"
"SANVU","2005222N14131","WP","03:00:00","TS","19.36","120.37","","","52","985","42","991","41","991","42","990"
"SANVU","2005222N14131","WP","06:00:00","TS","19.70","119.83","45","990","55","984","45","990","44","990","45","988"
"SANVU","2005222N14131","WP","09:00:00","TS","20.03","119.39","","","57","982","47","990","46","987","47","986"
"SANVU","2005222N14131","WP","12:00:00","TS","20.42","119.00","50","990","60","980","50","990","48","985","50","984"
"SANVU","2005222N14131","WP","15:00:00","TS","20.93","118.59","","","60","980","50","987","51","985","50","984"
"SANVU","2005222N14131","WP","18:00:00","TS","21.53","118.15","50","985","60","980","50","985","54","985","50","984"
"SANVU","2005222N14131","WP","21:00:00","TS","22.19","117.65","","","62","978","50","985","56","982","55","979"
"SANVU","2005222N14131","WP","2005-08-13 00:00:00","TS","22.83","117.18","50","985","65","976","50","985","58","980","60","975"
"SANVU","2005222N14131","WP","03:00:00","TS","23.31","116.85","","","55","983","50","985","53","985","55","979"
"SANVU","2005222N14131","WP","06:00:00","TS","23.77","116.55","50","985","45","991","50","985","48","990","50","984"
"SANVU","2005222N14131","WP","09:00:00","TS","24.34","116.15","","","40","994","42","988","43","991","45","988"
"SANVU","2005222N14131","WP","12:00:00","TS","24.96","115.77","35","992","35","997","35","992","38","992","40","992"
"SANVU","2005222N14131","WP","15:00:00","TS","25.61","115.52","","","30","999","","994","36","994","35","994"
"SANVU","2005222N14131","WP","18:00:00","TS","26.21","115.33","","996","25","1002","","996","34","996","30","996"
"SANVU","2005222N14131","WP","21:00:00","TS","26.63","115.16","","","25","1002","","997","31","997","",""
"SANVU","2005222N14131","WP","2005-08-14 00:00:00","TS","26.96","115.02","","998","25","1002","","998","29","998","",""
"SANVU","2005222N14131","WP","03:00:00","TS","27.23","114.84","","","","","","998","29","998","",""
"SANVU","2005222N14131","WP","06:00:00","TS","27.55","114.50","","998","","","","998","29","999","",""
"SANVU","2005222N14131","WP","09:00:00","TS","28.03","113.97","","","","","","999","26","999","",""
"SANVU","2005222N14131","WP","12:00:00","TS","28.50","113.39","","1000","","","","1000","23","999","",""
"SANVU","2005222N14131","WP","15:00:00","TS","28.81","112.94","","","","","","1000","23","999","",""
"SANVU","2005222N14131","WP","18:00:00","TS","29.00","112.58","","1000","","","","1000","23","999","",""
"SANVU","2005222N14131","WP","21:00:00","TS","29.12","112.22","","","","","","","21","999","",""
"SANVU","2005222N14131","WP","2005-08-15 00:00:00","TS","29.20","111.80","","","","","","","19","1000","",""
"VICENTE","2005257N15120","WP","2005-09-14 06:00:00","NR","14.70","119.60","","","15","1006","","","","","",""
"VICENTE","2005257N15120","WP","09:00:00","NR","14.89","119.05","","","15","1006","","","","","",""
"VICENTE","2005257N15120","WP","12:00:00","NR","15.00","118.50","","","15","1006","","","","","",""
"VICENTE","2005257N15120","WP","15:00:00","NR","14.99","117.96","","","15","1006","","","","","",""
"VICENTE","2005257N15120","WP","18:00:00","NR","14.90","117.40","","","15","1006","","","","","",""
"VICENTE","2005257N15120","WP","21:00:00","NR","14.84","116.74","","","15","1006","","","","","",""
"VICENTE","2005257N15120","WP","2005-09-15 00:00:00","NR","14.70","116.10","","","15","1006","","","","","",""
"VICENTE","2005257N15120","WP","03:00:00","NR","14.42","115.63","","","17","1005","","","","","",""
"VICENTE","2005257N15120","WP","06:00:00","TS","14.10","115.33","","1004","20","1004","","1004","29","1004","",""
"VICENTE","2005257N15120","WP","09:00:00","TS","13.86","114.86","","","20","1004","","1004","29","1004","",""
"VICENTE","2005257N15120","WP","12:00:00","TS","13.60","114.38","","1004","20","1004","","1004","29","1004","",""
"VICENTE","2005257N15120","WP","15:00:00","TS","13.29","113.93","","","20","1004","","1003","29","1003","",""
"VICENTE","2005257N15120","WP","18:00:00","TS","12.90","113.53","","1002","20","1004","","1002","29","1002","",""
"VICENTE","2005257N15120","WP","21:00:00","TS","12.40","113.11","","","25","1002","","1001","29","1001","",""
"VICENTE","2005257N15120","WP","2005-09-16 00:00:00","TS","11.87","112.90","","1000","30","1000","","1000","29","1000","",""
"VICENTE","2005257N15120","WP","03:00:00","TS","11.27","113.08","","","32","998","","999","29","1000","",""
"VICENTE","2005257N15120","WP","06:00:00","TS","10.90","113.49","","998","35","997","","998","29","1000","30","996"
"VICENTE","2005257N15120","WP","09:00:00","TS","11.02","113.92","","","32","998","","995","31","997","32","994"
"VICENTE","2005257N15120","WP","12:00:00","TS","11.38","114.27","35","992","30","1000","35","992","34","995","35","992"
"VICENTE","2005257N15120","WP","15:00:00","TS","11.76","114.38","","","32","998","37","991","34","995","37","990"
"VICENTE","2005257N15120","WP","18:00:00","TS","12.28","114.40","40","990","35","997","40","990","34","995","40","988"
"VICENTE","2005257N15120","WP","21:00:00","TS","12.86","114.52","","","35","997","40","990","36","992","40","988"
"VICENTE","2005257N15120","WP","2005-09-17 00:00:00","TS","13.57","114.50","40","990","35","997","40","990","38","990","40","988"
"VICENTE","2005257N15120","WP","03:00:00","TS","14.46","114.23","","","35","997","40","990","38","990","40","988"
"VICENTE","2005257N15120","WP","06:00:00","TS","15.32","113.65","40","990","35","997","40","990","38","990","40","988"
"VICENTE","2005257N15120","WP","09:00:00","TS","16.02","112.72","","","35","997","40","990","41","987","40","988"
"VICENTE","2005257N15120","WP","12:00:00","TS","16.53","111.65","40","990","35","997","40","990","44","985","40","988"
"VICENTE","2005257N15120","WP","15:00:00","TS","16.84","110.75","","","40","994","42","990","44","985","42","986"
"VICENTE","2005257N15120","WP","18:00:00","TS","17.00","109.93","45","990","45","991","45","990","44","985","45","984"
"VICENTE","2005257N15120","WP","21:00:00","TS","17.07","109.17","","","47","989","45","987","44","985","45","984"
"VICENTE","2005257N15120","WP","2005-09-18 00:00:00","TS","17.15","108.45","45","985","50","987","45","985","44","985","45","984"
"VICENTE","2005257N15120","WP","03:00:00","TS","17.33","107.71","","","50","987","42","988","41","987","45","984"
"VICENTE","2005257N15120","WP","06:00:00","TS","17.63","106.91","40","992","50","987","40","992","38","990","45","984"
"VICENTE","2005257N15120","WP","09:00:00","TS","18.13","105.96","","","47","989","37","993","36","992","42","986"
"VICENTE","2005257N15120","WP","12:00:00","TS","18.67","104.85","35","994","45","991","35","994","34","995","40","988"
"VICENTE","2005257N15120","WP","15:00:00","TS","18.99","103.59","","","","","","997","31","997","35","992"
"VICENTE","2005257N15120","WP","18:00:00","TS","19.24","102.30","","1000","","","","1000","29","1000","30","996"
"VICENTE","2005257N15120","WP","21:00:00","TS","19.60","101.04","","","","","","1002","26","1002","",""
"VICENTE","2005257N15120","NI","2005-09-19 00:00:00","TS","20.00","99.80","","","","","","1004","23","1004","",""
"DAMREY","2005262N13127","WP","2005-09-19 06:00:00","TS","13.20","127.00","","1006","","","","1006","23","1006","",""
"DAMREY","2005262N13127","WP","09:00:00","TS","13.51","126.56","","","","","","1006","23","1006","",""
"DAMREY","2005262N13127","WP","12:00:00","TS","13.80","126.10","","1006","","","","1006","23","1006","",""
"DAMREY","2005262N13127","WP","15:00:00","TS","14.05","125.63","","","","","","1005","23","1005","",""
"DAMREY","2005262N13127","WP","18:00:00","TS","14.30","125.20","","1004","","","","1004","23","1004","",""
"DAMREY","2005262N13127","WP","21:00:00","TS","14.57","124.87","","","","","","1002","26","1002","",""
"DAMREY","2005262N13127","WP","2005-09-20 00:00:00","TS","14.90","124.60","","1000","","","","1000","29","1000","",""
"DAMREY","2005262N13127","WP","03:00:00","TS","15.34","124.34","","","","","","1000","29","1000","",""
"DAMREY","2005262N13127","WP","06:00:00","TS","15.72","124.20","","1000","25","1002","","1000","29","1000","",""
"DAMREY","2005262N13127","WP","09:00:00","TS","16.06","124.06","","","27","1001","","1000","29","1000","",""
"DAMREY","2005262N13127","WP","12:00:00","TS","16.42","123.92","","1000","30","1000","","1000","29","1000","",""
"DAMREY","2005262N13127","WP","15:00:00","TS","16.81","123.75","","","32","998","","999","29","999","",""
"DAMREY","2005262N13127","WP","18:00:00","TS","17.24","123.49","","998","35","997","","998","29","998","30","1000"
"DAMREY","2005262N13127","WP","21:00:00","TS","17.67","123.21","","","35","997","","997","31","997","32","998"
"DAMREY","2005262N13127","WP","2005-09-21 00:00:00","TS","18.06","122.90","35","996","35","997","35","996","34","996","35","996"
"DAMREY","2005262N13127","WP","03:00:00","TS","18.40","122.56","","","37","995","37","994","36","994","37","994"
"DAMREY","2005262N13127","WP","06:00:00","TS","18.68","122.20","40","992","40","994","40","992","38","992","40","992"
"DAMREY","2005262N13127","WP","09:00:00","TS","18.82","121.86","","","45","990","42","991","41","991","42","990"
"DAMREY","2005262N13127","WP","12:00:00","TS","18.92","121.55","45","990","50","987","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","15:00:00","TS","19.06","121.30","","","50","987","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","18:00:00","TS","19.23","121.10","45","990","50","987","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","21:00:00","TS","19.46","120.94","","","52","985","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","2005-09-22 00:00:00","TS","19.70","120.78","45","990","55","984","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","03:00:00","TS","19.92","120.55","","","55","984","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","06:00:00","TS","20.08","120.28","45","990","55","984","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","09:00:00","TS","20.10","119.98","","","55","984","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","12:00:00","TS","20.05","119.65","45","990","55","984","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","15:00:00","TS","20.00","119.29","","","55","984","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","18:00:00","TS","19.97","118.90","45","990","55","984","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","21:00:00","TS","20.00","118.52","","","52","985","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","2005-09-23 00:00:00","TS","20.07","118.10","45","990","50","987","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","03:00:00","TS","20.20","117.58","","","50","987","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","06:00:00","TS","20.30","117.13","45","990","50","987","45","990","44","990","45","988"
"DAMREY","2005262N13127","WP","09:00:00","TS","20.31","116.89","","","50","987","45","990","44","990","47","986"
"DAMREY","2005262N13127","WP","12:00:00","TS","20.28","116.70","45","990","50","987","45","990","44","990","50","984"
"DAMREY","2005262N13127","WP","15:00:00","TS","20.24","116.40","","","47","989","47","987","46","987","50","984"
"DAMREY","2005262N13127","WP","18:00:00","TS","20.17","116.08","50","985","45","991","50","985","48","985","50","984"
"DAMREY","2005262N13127","WP","21:00:00","TS","20.05","115.75","","","47","989","52","982","51","982","52","982"
"DAMREY","2005262N13127","WP","2005-09-24 00:00:00","TS","19.90","115.43","55","980","50","987","55","980","54","980","55","980"
"DAMREY","2005262N13127","WP","03:00:00","TS","19.78","115.11","","","52","985","57","977","56","980","57","977"
"DAMREY","2005262N13127","WP","06:00:00","TS","19.65","114.78","60","975","55","984","60","975","58","980","60","975"
"DAMREY","2005262N13127","WP","09:00:00","TS","19.51","114.37","","","57","982","62","972","63","975","62","972"
"DAMREY","2005262N13127","WP","12:00:00","TS","19.35","113.98","65","970","60","980","65","970","68","970","65","970"
"DAMREY","2005262N13127","WP","15:00:00","TS","19.15","113.67","","","62","978","65","970","68","970","67","967"
"DAMREY","2005262N13127","WP","18:00:00","TS","18.97","113.43","65","970","65","976","65","970","68","970","70","965"
"DAMREY","2005262N13127","WP","21:00:00","TS","18.90","113.21","","","72","969","70","965","72","965","75","960"
"DAMREY","2005262N13127","WP","2005-09-25 00:00:00","TS","18.90","112.98","75","960","80","963","75","960","77","960","80","955"
"DAMREY","2005262N13127","WP","03:00:00","TS","18.95","112.68","","","85","958","77","957","87","950","85","950"
"DAMREY","2005262N13127","WP","06:00:00","TS","19.02","112.35","80","955","90","954","80","955","97","940","90","945"
"DAMREY","2005262N13127","WP","09:00:00","TS","19.06","112.06","","","87","956","80","955","97","940","92","942"
"DAMREY","2005262N13127","WP","12:00:00","TS","19.08","111.73","80","955","85","958","80","955","97","940","95","940"
"DAMREY","2005262N13127","WP","15:00:00","TS","19.11","111.25","","","82","960","80","955","97","940","95","940"
"DAMREY","2005262N13127","WP","18:00:00","TS","19.07","110.75","80","955","80","963","80","955","97","940","95","940"
"DAMREY","2005262N13127","WP","21:00:00","TS","18.86","110.33","","","75","967","75","960","82","955","85","950"
"DAMREY","2005262N13127","WP","2005-09-26 00:00:00","TS","18.67","109.93","70","965","70","972","70","965","68","970","75","960"
"DAMREY","2005262N13127","WP","03:00:00","TS","18.70","109.48","","","67","974","67","967","66","972","72","962"
"DAMREY","2005262N13127","WP","06:00:00","TS","18.85","109.03","65","970","65","976","65","970","64","975","70","965"
"DAMREY","2005262N13127","WP","09:00:00","TS","19.04","108.59","","","62","978","62","972","64","975","67","967"
"DAMREY","2005262N13127","WP","12:00:00","TS","19.22","108.18","60","975","60","980","60","975","64","975","65","970"
"DAMREY","2005262N13127","WP","15:00:00","TS","19.34","107.83","","","57","982","60","975","64","975","65","970"
"DAMREY","2005262N13127","WP","18:00:00","TS","19.43","107.45","60","975","55","984","60","975","64","975","65","970"
"DAMREY","2005262N13127","WP","21:00:00","TS","19.49","106.93","","","52","985","60","977","61","977","65","970"
"DAMREY","2005262N13127","WP","2005-09-27 00:00:00","TS","19.55","106.33","60","980","50","987","60","980","58","980","65","970"
"DAMREY","2005262N13127","WP","03:00:00","TS","19.65","105.65","","","47","989","55","985","53","985","60","975"
"DAMREY","2005262N13127","WP","06:00:00","TS","19.70","104.97","50","990","45","991","50","990","48","990","55","980"
"DAMREY","2005262N13127","WP","09:00:00","TS","19.63","104.37","","","40","994","42","993","41","992","47","986"
"DAMREY","2005262N13127","WP","12:00:00","TS","19.48","103.81","35","996","35","997","35","996","34","995","40","992"
"DAMREY","2005262N13127","WP","15:00:00","TS","19.37","103.23","","","32","998","","1000","","","32","997"
"DAMREY","2005262N13127","WP","18:00:00","TS","19.42","102.63","","1004","30","1000","","1004","","","25","1002"
"DAMREY","2005262N13127","WP","21:00:00","TS","19.92","101.98","","","","","","1005","","","",""
"DAMREY","2005262N13127","WP","2005-09-28 00:00:00","TS","20.40","101.30","","1006","","","","1006","","","",""
"DAMREY","2005262N13127","WP","03:00:00","TS","20.75","100.53","","","","","","1006","","","",""
"DAMREY","2005262N13127","NI","06:00:00","TS","21.00","99.70","","","","","","1006","","","",""
"KAI-TAK","2005301N13117","WP","2005-10-27 18:00:00","NR","12.90","117.10","","","20","1004","","","","","",""
"KAI-TAK","2005301N13117","WP","21:00:00","NR","12.92","116.65","","","20","1004","","","","","",""
"KAI-TAK","2005301N13117","WP","2005-10-28 00:00:00","NR","12.90","116.20","","","20","1004","","","","","",""
"KAI-TAK","2005301N13117","WP","03:00:00","NR","12.81","115.75","","","22","1003","","","","","",""
"KAI-TAK","2005301N13117","WP","06:00:00","TS","12.70","115.23","","1004","25","1002","","1004","29","1002","",""
"KAI-TAK","2005301N13117","WP","09:00:00","TS","12.71","114.69","","","25","1002","","1004","29","1002","",""
"KAI-TAK","2005301N13117","WP","12:00:00","TS","12.75","114.25","","1004","25","1002","","1004","29","1002","25","1002"
"KAI-TAK","2005301N13117","WP","15:00:00","TS","12.75","113.96","","","27","1001","","1003","29","1001","25","1002"
"KAI-TAK","2005301N13117","WP","18:00:00","TS","12.69","113.76","","1002","30","1000","","1002","29","1000","25","1002"
"KAI-TAK","2005301N13117","WP","21:00:00","TS","12.63","113.57","","","32","998","","1001","31","999","27","1001"
"KAI-TAK","2005301N13117","WP","2005-10-29 00:00:00","TS","12.60","113.38","35","1000","35","997","35","1000","34","998","30","1000"
"KAI-TAK","2005301N13117","WP","03:00:00","TS","12.65","113.13","","","40","994","37","995","36","996","35","996"
"KAI-TAK","2005301N13117","WP","06:00:00","TS","12.75","112.90","40","990","45","991","40","990","38","995","40","992"
